bookId,bookName,bookDetailId,bookReferenceId,author,publicationDate,pages,languages,fileSize,fileFormat,category,driveDirectory,bookDescription,images,linkDownload,state,driveFileId,driveFileName
78a7b067-9aaf-4800-83f1-af572d2c7a76,Penetration Testing Basics,002e0b48-861b-49c8-98b6-9594e189607d,78a7b067-9aaf-4800-83f1-af572d2c7a76,Ric Messier,2016,114,English,13.1 MB,PDF,Programming,,"
",http://www.allitebooks.com/wp-content/uploads/2016/08/Penetration-Testing-Basics.jpg,http://file.allitebooks.com/20160820/Penetration%20Testing%20Basics.pdf,COMPLETED,1isMWkAc6KgcaM09qqt8MnoVsbZUj_Lpu,Penetration Testing Basics
366a2701-476c-4150-b7d8-363940bc5948,"Beginning Android, 5th Edition",005344dc-6aba-42a5-8930-077564d46935,366a2701-476c-4150-b7d8-363940bc5948,Grant Alle,2016,440,English,7.31 MB,PDF,Android,,"Get started in creating marketable apps for the burgeoning Android market. Begin your journey by learning the essentials of programming for phones and tables that are built around Google’s wildly-successful Android platform. Beginning Android, Fifth Edition is fresh with details on the latest iteration of the Android 5 and earlier versions.
Google’s Android operating-system has taken the industry by storm, going from its humble beginnings as a smartphone operating system to its current status as a platform for apps that run across a gamut of devices from phones to tablets to netbooks to televisions, and the list is sure to grow. Smart developers are not sitting idly by in the stands, but are jumping into the game of creating innovative and salable applications for this fast-growing, mobile- and consumer-device platform. If you’re not in the game yet, now is your chance!
Begin at the beginning by installing the tools and compiling a skeleton app. Move through creating layouts, employing widgets, taking user input, and giving back results. Soon you’ll be creating innovative applications involving multi-touch, multi-tasking, and more! You’ll be drawing data live from the Internet using web services and delighting your customers with life-enhancing apps. Not since the PC era first began has there been this much opportunity for the common developer. What are you waiting for? Grab your copy of Beginning Android and get started!
",http://www.allitebooks.com/wp-content/uploads/1458/8756e8a5ffe9c6e.jpg,"http://file.allitebooks.com/20160316/Beginning%20Android,%205th%20edition.pdf",COMPLETED,18BAkxp4pXEYDhuqTZwPNonT4_KQBW_kC,"Beginning Android, 5th Edition"
d9472bfe-d485-4a53-8e97-d3a22e7cad51,Ruby Under a Microscope,008da315-49b5-456f-a5be-5e9a63f1b287,d9472bfe-d485-4a53-8e97-d3a22e7cad51,Pat Shaughnessy,2013,360,English,6.9 MB,PDF,Ruby,,"Ruby is a powerful programming language with a focus on simplicity, but beneath its elegant syntax it performs countless unseen tasks.
Ruby Under a Microscope gives you a hands-on look at Ruby’s core, using extensive diagrams and thorough explanations to show you how Ruby is implemented (no C skills required). Author Pat Shaughnessy takes a scientific approach, laying out a series of experiments with Ruby code to take you behind the scenes of how programming languages work. You’ll even find information on JRuby and Rubinius (two alternative implementations of Ruby), as well as in-depth explorations of Ruby’s garbage collection algorithm.
",http://www.allitebooks.com/wp-content/uploads/1431/545556d78586fd2.jpg,http://file.allitebooks.com/20150515/Ruby%20Under%20a%20Microscope.pdf,COMPLETED,1F3vUEblIUwiCVenUJWjN7YiTBAc314_D,Ruby Under a Microscope
127e623e-54b8-491b-8725-6f91af1d9f2c,"Programming Microsoft ASP.NET MVC, 3rd Edition",0130031c-5b88-4841-abe5-a7752751725e,127e623e-54b8-491b-8725-6f91af1d9f2c,Dino Esposito,2014,528,English,46.6 MB,PDF,ASP.NET,,"Go deep into the architecture and features of ASP.NET MVC 5, and learn how to build web applications that work well on both the desktop and mobile devices. Web development expert Dino Esposito takes you through the web framework’s Model-View-Controller (MVC) design model, and covers the tools you need to cleanly separate business logic from the user interface. If you’re an experienced web developer new to ASP.NET MVC, this practical guide will get you going.
",http://www.allitebooks.com/wp-content/uploads/1432/05555aaa7cb70db.jpg,"http://file.allitebooks.com/20150518/Programming%20Microsoft%20ASP.NET%20MVC,%203rd%20Edition.pdf",COMPLETED,1Ut6aK4rqB05FHQ2-V7hkBPxLIG5Gr8sf,"Programming Microsoft ASP.NET MVC, 3rd Edition"
9145b142-db4b-48cc-946f-a70cf3b64207,Sams Teach Yourself WordPress in 10 Minutes,01516668-a80f-426c-99f6-2a31e0bdb0fe,9145b142-db4b-48cc-946f-a70cf3b64207,"Chuck Tomasi, Kreg Steppe",2010,240,English,5.2 MB,PDF,CMS,,"Sams Teach Yourself WordPress in 10 Minutes gives you straightforward, practical answers when you need fast results. By working through its 10-minute lessons, you’ll learn everything you need to build great blogs with WordPress and WordPress.org, and reach any audience by web browser, RSS, or cell phone!
",http://www.allitebooks.com/wp-content/uploads/1431/6255587dbb16316.jpg,http://file.allitebooks.com/20150517/Sams%20Teach%20Yourself%20WordPress%20in%2010%20Minutes.pdf,COMPLETED,1X5hDcffctctvX5bvFFm-82boIQrY27Pe,Sams Teach Yourself WordPress in 10 Minutes
85254509-5665-4b35-a49f-3b1d0b6903fa,Express.js Guide,01811098-c1d1-4ecf-bbb6-08551bb2383d,85254509-5665-4b35-a49f-3b1d0b6903fa,,2014,315,English,7.5 MB,PDF,Express.js,,"The in-depth, detailed, hands-on manual on Express.js, the most popular Node.js framework. Will get you up and running fast and save you time. Understand the concepts, learn the best practices. Become an Express.js expert today!
",http://www.allitebooks.com/wp-content/uploads/1435/27558d5ac485d39.jpg,http://file.allitebooks.com/20150626/Express.js%20Guide.pdf,COMPLETED,1rNeGsGwwTLj6d-gRFlqdEJifgtjwCYwq,Express.js Guide
8763eacc-82d0-440d-8cc4-c99eb490c1af,The dRuby Book,01a23117-41a1-41aa-96e3-0bdd3f86ee62,8763eacc-82d0-440d-8cc4-c99eb490c1af,Masatoshi Seki,2012,280,English,3.5 MB,PDF,Ruby,,"dRuby has been part of the Ruby standard library for more than a decade, yet few know the true power of the gem. Completely written in Ruby, dRuby enables you to communicate between distributed Ruby processes as if there were no boundaries between processes. This is one of the few books that covers distributed and parallel programming for Ruby developers.
The dRuby Book has been completely updated and expanded from its Japanese version, with three new chapters written by Masatoshi-san. You’ll find out about the design concepts of the dRuby library, and walk through step-by-step tutorial examples. By building various distributed applications, you’ll master distributed programming as well as advanced Ruby techniques such as multithreading, object references, garbage collection, and security. Then you’ll graduate to advanced techniques for using dRuby with Masatoshi-san’s other libraries, such as eRuby and Rinda – the Ruby version of the Linda distributed tuplespace system. In the three new chapters, you’ll see how to integrate dRuby and eRuby, get a thorough grounding in parallel programming concepts with Rinda, and create a full text search system using Drip.
",http://www.allitebooks.com/wp-content/uploads/1431/545556d76812847.jpg,http://file.allitebooks.com/20150515/The%20dRuby%20Book.pdf,COMPLETED,1NGcH3gso6O3AzMn0UMFT3X2b6wnbVy59,The dRuby Book
5744d834-40e8-42a8-b0c3-5c56dbb574f5,Professional C# 6 and .NET Core 1.0,01a45048-b028-4ff2-9def-b150d548584c,5744d834-40e8-42a8-b0c3-5c56dbb574f5,Christian Nagel,2016,1536,English,121 MB,PDF,C# .NET,,"A true professional’s guide to C# 6
Professional C# 6 and .NET Core 1.0 provides complete coverage of the latest updates, features, and capabilities, giving you everything you need for C#. Get expert instruction on the latest changes to Visual Studio 2015, Windows Runtime, ADO.NET, ASP.NET, Windows Store Apps, Windows Workflow Foundation, and more, with clear explanations, no-nonsense pacing, and valuable expert insight. This incredibly useful guide serves as both tutorial and desk reference, providing a professional-level review of C# architecture and its application in a number of areas. You’ll gain a solid background in managed code and .NET constructs within the context of the 2015 release, so you can get acclimated quickly and get back to work.
The new updates can actively streamline your workflow, with major changes including reimagined C# refactoring support, a new .NET Web app stack, and the .NET compiler platform that makes C# and Visual Basic compilers available as APIs. This book walks you through the changes with a comprehensive C# review.
Microsoft has stepped up both the cadence and magnitude of their software releases. Professional C# 6 and .NET Core 1.0 shows you everything you need to know about working with C# in a real-world context.
",http://www.allitebooks.com/wp-content/uploads/2016/07/Professional-C-6-and-.NET-Core-1.0.jpg,http://file.allitebooks.com/20160712/Professional%20C-%206%20and%20.NET%20Core%201.0.pdf,COMPLETED,1szO5hUjnj1MNQPb0NP441NwMddaqgse8,Professional C# 6 and .NET Core 1.0
a8080cc3-9ccf-4928-8daf-518b08746a11,Everyday Scripting with Ruby,01a97935-c4c2-4501-9887-8d579730a3d9,a8080cc3-9ccf-4928-8daf-518b08746a11,Brian Marick,2007,426,English,2.6 MB,PDF,Ruby,,"Are you a tester who spends more time manually creating complex test data than using it? A business analyst who seemingly went to college all those years so you can spend your days copying data from reports into spreadsheets? A programmer who can’t finish each day’s task without having to scan through version control system output, looking for the file you want?
If so, you’re wasting that computer on your desk. Offload the drudgery to where it belongs, and free yourself to do what you should be doing: thinking. All you need is a scripting language (free!), this book (cheap!), and the dedication to work through the examples and exercises.
",http://www.allitebooks.com/wp-content/uploads/1431/545556d7236e99f.jpg,http://file.allitebooks.com/20150515/Everyday%20Scripting%20with%20Ruby.pdf,COMPLETED,1K1O_JJMJtt9yz9J74XB6Ln0m2GX1e1LE,Everyday Scripting with Ruby
00a179d1-c566-4681-829d-05101ba650c6,"Swift in 24 Hours, Sams Teach Yourself, 2nd Edition",020a8c89-e1c4-4b8d-b0ec-d4c5d0032bdf,00a179d1-c566-4681-829d-05101ba650c6,BJ Miller,2015,464,English,25.5 MB,PDF,Swift,,"In just 24 lessons of one hour or less, Sams Teach Yourself Swift in 24 Hours, Second Edition, will teach you how to build next-generation OS X and iOS apps with Apple’s Swift 2 programming language. This book’s straightforward, step-by-step approach helps you quickly master Swift 2’s core concepts, structure, and syntax and use Swift to write safe, powerful, modern code. In just a few hours you’ll be applying features such as extensions, closures, protocols, and generics. Every lesson builds on what you’ve already learned, giving you a rock-solid foundation for real-world success.
Step-by-step instructions carefully walk you through the most common Swift 2 programming tasks. Practical, hands-on examples show you how to apply what you learn. Quizzes and exercises help you test your knowledge and stretch your skills. Notes and tips point out shortcuts and solutions.
Learn how to…
",http://www.allitebooks.com/wp-content/uploads/2017/10/Swift-in-24-Hours-Sams-Teach-Yourself-2nd-Edition.jpg,"http://file.allitebooks.com/20171017/Swift%20in%2024%20Hours,%20Sams%20Teach%20Yourself,%202nd%20Edition.pdf",COMPLETED,1PIm5iMni0gtTODQbjXa0bllOWaxZfpcb,"Swift in 24 Hours, Sams Teach Yourself, 2nd Edition"
